藥品名稱與劑量,提問中之字號,正確/建議修正字號,說明,TFDA官方核實字號,TFDA官方藥品名稱,TFDA官方規格,TFDA藥證持有人,前綴核實,是否一致,需要修正,核實備註,TFDA官方查詢入口
Coversyl,衛署藥輸字第024725號,衛部藥輸字第024725號,應更正為衛部,衛署藥輸字第024725號,雅施達膜衣錠5毫克,5毫克,台灣施維雅日醫股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第024725號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Norvasc 5mg,衛署藥輸字第021571號,衛部藥輸字第021571號,應更正為衛部,衛署藥輸字第021571號,脈優錠5毫克,5毫克,暉致醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第021571號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Adalat OROS 30mg,衛署藥輸字第022951號,衛部藥輸字第022951號,應更正為衛部,衛署藥輸字第022951號,冠達悅歐樂持續性藥效錠30毫克,30毫克,台灣拜耳股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022951號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Concor 5mg,衛署藥輸字第017125號,衛部藥輸字第017125號,應更正為衛部,衛署藥輸字第017125號,康肯錠5毫克,5毫克,台灣邁蘭醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第017125號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Concor 10mg,衛署藥輸字第017090號,衛部藥輸字第017090號,應更正為衛部,衛署藥輸字第017090號,康肯錠10毫克,10毫克,台灣邁蘭醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第017090號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Nebilet 5mg,衛署藥輸字第026700號,衛署藥輸字第026700號,正確,衛部藥輸字第026700號,耐比洛錠5毫克,5毫克,新加坡商美納里尼醫藥有限公司台灣分公司,衛部藥輸字,不一致,是,TFDA官方實際核發字號前綴為「衛部藥輸字第026700號」，候選資料之「衛署」前綴不符，需修正為衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
心律錠 STD 163,衛署藥製字第016300號,衛部藥製字第016300號,國產藥品，應更正為衛部藥製,衛署藥製字第009102號,心律錠10毫克,10毫克,生達化學製藥股份有限公司,衛署藥製字,不一致,是,候選資料誤將藥品錠劑印痕標記「STD 163」推導為016300，經TFDA核實心律錠(生達)真正字號為衛署藥製字第009102號,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Dilatrend 6.25mg,衛署藥輸字第022071號,衛部藥輸字第022071號,應更正為衛部,衛署藥輸字第022071號,達利全錠6.25毫克,6.25毫克,台灣羅氏醫療產品股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022071號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Dilatrend 25mg,衛署藥輸字第020452號,衛部藥輸字第020452號,應更正為衛部,衛署藥輸字第020452號,達利全錠25毫克,25毫克,台灣羅氏醫療產品股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第020452號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Betaloc ZOK 100mg,衛署藥輸字第020174號,衛部藥輸字第020174號,應更正為衛部,衛署藥輸字第020174號,舒壓寧控釋錠100公絲,100公絲,台灣阿斯特捷利康股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第020174號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Tenormin 50mg,衛署藥輸字第022160號,衛部藥輸字第022160號,應更正為衛部,衛署藥輸字第022160號,天諾敏膜衣錠50毫克,50毫克,台灣阿斯特捷利康股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022160號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Tenormin 100mg,衛署藥輸字第022159號,衛部藥輸字第022159號,應更正為衛部,衛署藥輸字第022159號,天諾敏錠100毫克,100毫克,台灣阿斯特捷利康股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022159號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Rhynorm 150mg,衛署藥製字第050210號,衛部藥製字第050210號,國產藥品，應更正為衛部藥製,衛署藥製字第050210號,律諾膜衣錠150毫克,150毫克,健喬信元醫藥生技股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第050210號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Esidrex 25mg,內衛藥製字第000141號,內衛藥製字第000141號,正確（保留內政部衛生署時期字號）,內衛藥製字第000141號,恆克利片,25毫克,強生化學製藥廠股份有限公司,內衛藥製字,一致,否,官方藥證保留內政部衛生署時期字號「內衛藥製字第000141號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Lasix 40mg,衛署藥輸字第022535號,衛部藥輸字第022535號,應更正為衛部,衛署藥輸字第022535號,來適泄錠40毫克,40毫克,賽諾菲股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022535號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Aldactone 25mg,衛署藥輸字第022610號,衛部藥輸字第022610號,應更正為衛部,衛署藥輸字第022610號,安達通錠25毫克,25毫克,暉致醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022610號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Inspra 25mg,衛署藥輸字第024305號,衛部藥輸字第024305號,應更正為衛部,衛署藥輸字第024305號,迎甦心膜衣錠25毫克,25毫克,暉致醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第024305號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Inspra 50mg,衛署藥輸字第024306號,衛部藥輸字第024306號,應更正為衛部,衛署藥輸字第024306號,迎甦心膜衣錠50毫克,50毫克,暉致醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第024306號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Doxaben XL 4mg,衛署藥輸字第023711號,衛部藥輸字第023711號,應更正為衛部,衛署藥輸字第023711號,可迅持續性藥效錠4毫克,4毫克,暉致醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第023711號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Isoptin SR 240mg,衛署藥輸字第019953號,衛部藥輸字第019953號,應更正為衛部,衛署藥輸字第019953號,心舒平持續性膜衣錠240毫克,240毫克,雅培股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第019953號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
IBIMO Retard 60mg,衛署藥製字第049514號,衛部藥製字第049514號,國產藥品，應更正為衛部藥製,衛署藥製字第049514號,愛彼脈持續性藥效膜衣錠60毫克,60毫克,健喬信元醫藥生技股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第049514號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Cardizem Retard,衛署藥輸字第019885號,衛部藥輸字第019885號,應更正為衛部,衛署藥輸字第019885號,凱帝心徐放錠90公絲,90公絲,田邊三菱製藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第019885號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
OlsaaCa 5/20mg,衛部藥製字第061591號,衛部藥製字第061591號,正確,衛部藥製字第061591號,双優惠脈錠5/20毫克,5/20毫克,健喬信元醫藥生技股份有限公司,衛部藥製字,一致,否,官方登記即為「衛部藥製字第061591號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
OlsaaCa 5/40mg,衛部藥製字第061466號,衛部藥製字第061466號,正確,衛部藥製字第061466號,双優惠脈錠5/40毫克,5/40毫克,健喬信元醫藥生技股份有限公司,衛部藥製字,一致,否,官方登記即為「衛部藥製字第061466號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Estengy 5/80mg,衛部藥製字第059409號,衛部藥製字第059409號,正確,衛部藥製字第059409號,安壓雙好膜衣錠5/80毫克,5/80毫克,美時化學製藥股份有限公司,衛部藥製字,一致,否,官方登記即為「衛部藥製字第059409號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Estengy 5/160mg,衛部藥製字第059643號,衛部藥製字第059643號,正確,衛部藥製字第059643號,安壓雙好膜衣錠5/160毫克,5/160毫克,美時化學製藥股份有限公司,衛部藥製字,一致,否,官方登記即為「衛部藥製字第059643號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Zanidip,衛署藥輸字第023293號,衛部藥輸字第023293號,應更正為衛部,衛署藥輸字第023293號,利壓膜衣錠10毫克,10毫克,友華生技醫藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第023293號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Beniel 8mg,衛署藥製字第057368號,衛部藥製字第057368號,國產藥品，應更正為衛部藥製,衛署藥製字第057368號,保你爾膜衣錠8毫克,8毫克,健喬信元醫藥生技股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第057368號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Lesyn 4mg,衛署藥製字第048064號,衛部藥製字第048064號,國產藥品，應更正為衛部藥製,衛署藥製字第048064號,樂壓定膜衣錠4毫克,4毫克,健喬信元醫藥生技股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第048064號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Apresoline 10mg,衛署藥製字第030879號,衛部藥製字第030879號,國產藥品，應更正為衛部藥製,衛署藥製字第030879號,阿普利素寧糖衣錠10公絲,10公絲,台灣諾華股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第030879號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Apresoline 25mg,衛署藥製字第030742號,衛部藥製字第030742號,國產藥品，應更正為衛部藥製,衛署藥製字第030742號,阿普利素寧糖衣錠25公絲,25公絲,台灣諾華股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第030742號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Apresoline 50mg,衛署藥製字第030743號,衛部藥製字第030743號,國產藥品，應更正為衛部藥製,衛署藥製字第030743號,阿普利素寧糖衣錠50公絲,50公絲,台灣諾華股份有限公司,衛署藥製字,一致,否,國產藥品，TFDA官方登記仍為「衛署藥製字第030743號」，無須改衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
