編號,學名,中文學名,常見英文商品名,常見中文商品名,單/複方分類,成分說明/複方拆解,臨床注意事項與備註
20,Hydrochlorothiazide,氫氯噻嗪,Esidrex / Co-Diovan / Hyzaar / Losa & Hydro / Blopress Plus,單方；檔案註明台灣市面較少見 / 複方 / 複方 / 複方 / 複方,複方,🔬 複方拆解成分：HCTZ (單方) / 協代衛、海捷亞、落沙: ARB + HCTZ,篩檢前補鉀非常重要，血鉀低於 3.5 mEq/L 會使 PA 篩檢準確率顯著下降。
21,Furosemide,呋塞米,Lasix / Furide / Uretropic / Rosis,來適泄錠／注射液 / 舒利諾錠 / 通舒錠 / 樂泄錠,單方,單方成分：Furosemide (單方來喜息),若心衰竭水腫嚴重無法停用 Lasix，需於病歷詳細記載利尿劑使用狀態。
22,Spironolactone,螺內酯 / 安達通 / 愛達信,Aldactone / Aldactin / Solatone,安達通錠 / 愛達信錠 / 輸泌來錠,單方,單方成分：Spironolactone (單方樂安定),★ PA 標靶治療首選用藥！英文學名 (通用成分名)：Spironolactone；原廠商品名：Aldactone (台灣普遍譯為：安達通)；常見台灣學名藥：Aldactin (愛達信)、輸泌來錠。
23,Eplerenone,依普利酮,Inspra,迎甦心膜衣錠／英斯平,單方,單方成分：Eplerenone (單方英斯平),特別附註：Inspra（中文商品名：迎甦心膜衣錠）主成分為 Eplerenone，是一種醛固酮受體拮抗劑 (MRA)。
24,Doxazosin,多沙唑辛 / 多沙唑嗪,Cardura / Cardura XL / Xadosin / Doxasin / Doxaben XL,可多華錠 / 可多華持續性藥效錠 / 薩多心錠 / 可迅持續性藥效錠,單方,單方成分：Doxazosin (單方可多華),可與 Amlodipine 脈優 或 Verapamil 併用以達到良好的洗脫期血壓控制目標 (<140/90 mmHg)。
25,Verapamil (Sustained-Release),維拉帕米,Isoptin SR / Isoptin / Vasolan,心舒平持續性膜衣錠＋240 mg / 心舒平錠＋40 mg / 維舒錠＋40 mg,單方,單方成分：Verapamil SR (單方心舒平/伊速平),注意常有便祕副作用，建議多攝取膳食纖維與水分。
26,Isosorbide mononitrate,單硝酸異山梨酯,Imdur / Ibimo / Coxine C.R. / Isormol / Coxine,寬心持續性藥效錠＋60 mg / 愛彼脈持續性藥效膜衣錠＋60 mg / 冠欣持續性藥效錠＋60 mg / 愛速脈錠／冠欣錠＋20 mg,單方,單方成分：Isosorbide mononitrate (單方愛彼脈),初次使用可能出現血管擴張性頭痛，通常隨治療進行減輕。
27,Diltiazem HCl,地爾硫䓬 / 地爾硫卓,Cardizem Retard / Herbesser / Diltisser / Diltelan,凱帝心徐放錠 / 合必爽錠 / 迪心贊錠 / 達爾能持續性膠囊,單方,單方成分：Diltiazem HCl (單方凱帝心),注意避免與 Grapefruit juice (葡萄汁/柚子) 同時服藥。
28,Amlodipine / Olmesartan medoxomil,氨氯地平 / 奧美沙坦,OlsaaCa / OlsaaCa HCTZ,双優惠脈錠 / 三優惠脈錠,複方,🔬 複方拆解成分：Amlodipine (CCB) + Olmesartan medoxomil (ARB),含有 Olmesartan，需注意少數個案之腸病樣腹瀉 (Sprue-like enteropathy) 副作用報告。
29,Olmesartan medoxomil / Amlodipine besylate,奧美沙坦 / 氨氯地平,Sevikar / Amlobin-O / Anxo,舒脈康膜衣錠；原廠 / 降壓安錠 / 釋壓膜衣錠,複方,🔬 複方拆解成分：Olmesartan medoxomil (ARB) + Amlodipine besylate (CCB),洗脫期間替換為 Doxazosin。
30,Lercanidipine,樂卡地平,Zanidip / Lercanidipine Mylan,利壓膜衣錠 / 樂可平膜衣錠,單方,單方成分：Lercanidipine (單方利壓),應於餐前至少 15 分鐘空腹服用。
31,Benidipine,貝尼地平,Beniel,保你爾膜衣錠,單方,單方成分：Benidipine (單方保你爾),建議餐後服用。
32,Lacidipine,樂西地平 / 拉西地平,Lacipil / LESYN,樂息平錠 / 樂壓定膜衣錠,單方,單方成分：Lacidipine (單方樂壓定),建議每日定時服用，避免與葡萄柚汁同時併服。
33,Hydralazine,肼屈嗪,Apresoline / Stable / Aprezin,阿普利素寧糖衣錠 / 血得平錠 / 壓平利淨錠／哈伯寧錠,單方,單方成分：Hydralazine (單方肼屈嗪),可作為 PA 篩檢前維持血壓控制時的替代選項之一。
